Record Length,2500,Points,-249.99998E-6,239.99999E-3,,Record Length,2500,Points,-249.99998E-6,40.00000E-3,
Sample Interval,200.00000E-9,s,-249.79998E-6,239.99999E-3,,Sample Interval,200.00000E-9,s,-249.79998E-6,0.0,
Trigger Point,1.2500E3,Samples,-249.59998E-6,239.99999E-3,,Trigger Point,1.2500E3,Samples,-249.59998E-6,40.00000E-3,
,,,-249.39998E-6,239.99999E-3,,,,,-249.39998E-6,0.0,
,,,-249.19998E-6,239.99999E-3,,,,,-249.19998E-6,40.00000E-3,
,,,-248.99998E-6,239.99999E-3,,,,,-248.99998E-6,40.00000E-3,
Source,CH1,,-248.79997E-6,239.99999E-3,,Source,CH2,,-248.79997E-6,40.00000E-3,
Vertical Units,Volts,,-248.59997E-6,239.99999E-3,,Vertical Units,Volts,,-248.59997E-6,40.00000E-3,
Vertical Scale,2.0000,,-248.39997E-6,239.99999E-3,,Vertical Scale,1.000,,-248.39997E-6,40.00000E-3,
Vertical Offset,0,,-248.19997E-6,239.99999E-3,,Vertical Offset,0,,-248.19997E-6,40.00000E-3,
Horizontal Units,s,,-248.00000E-6,239.99999E-3,,Horizontal Units,s,,-248.00000E-6,40.00000E-3,
Horizontal Scale,50.00000E-6,,-247.80000E-6,319.99999E-3,,Horizontal Scale,50.00000E-6,,-247.80000E-6,40.00000E-3,
Pt Fmt,Y,,-247.59999E-6,319.99999E-3,,Pt Fmt,Y,,-247.59999E-6,40.00000E-3,
Yzero,-720.000000E-3,,-247.39999E-6,319.99999E-3,,Yzero,-2.0000,,-247.39999E-6,40.00000E-3,
Probe Atten,10.0000,,-247.19999E-6,319.99999E-3,,Probe Atten,10.0000,,-247.19999E-6,0.0,
,,,-246.99999E-6,319.99999E-3,,,,,-246.99999E-6,40.00000E-3,
Note,TDS 1012C-EDU - 17:16:01   28/03/2017,,-246.79999E-6,319.99999E-3,,Note,TDS 1012C-EDU - 17:16:01   28/03/2017,,-246.79999E-6,40.00000E-3,
,,,-246.59999E-6,319.99999E-3,,,,,-246.59999E-6,40.00000E-3,
,,,-246.39998E-6,319.99999E-3,,,,,-246.39998E-6,40.00000E-3,
,,,-246.19998E-6,319.99999E-3,,,,,-246.19998E-6,40.00000E-3,
,,,-245.99998E-6,319.99999E-3,,,,,-245.99998E-6,40.00000E-3,
,,,-245.79998E-6,319.99999E-3,,,,,-245.79998E-6,0.0,
,,,-245.59998E-6,319.99999E-3,,,,,-245.59998E-6,40.00000E-3,
,,,-245.39998E-6,399.99998E-3,,,,,-245.39998E-6,40.00000E-3,
,,,-245.19998E-6,399.99998E-3,,,,,-245.19998E-6,40.00000E-3,
,,,-244.99997E-6,399.99998E-3,,,,,-244.99997E-6,40.00000E-3,
,,,-244.79997E-6,399.99998E-3,,,,,-244.79997E-6,40.00000E-3,
,,,-244.59997E-6,399.99998E-3,,,,,-244.59997E-6,40.00000E-3,
,,,-244.39997E-6,399.99998E-3,,,,,-244.39997E-6,40.00000E-3,
,,,-244.20000E-6,399.99998E-3,,,,,-244.20000E-6,40.00000E-3,
,,,-243.99998E-6,399.99998E-3,,,,,-243.99998E-6,0.0,
,,,-243.79998E-6,399.99998E-3,,,,,-243.79998E-6,0.0,
,,,-243.59998E-6,399.99998E-3,,,,,-243.59998E-6,40.00000E-3,
,,,-243.39998E-6,479.999989E-3,,,,,-243.39998E-6,0.0,
,,,-243.19999E-6,479.999989E-3,,,,,-243.19999E-6,0.0,
,,,-242.99999E-6,479.999989E-3,,,,,-242.99999E-6,40.00000E-3,
,,,-242.79999E-6,479.999989E-3,,,,,-242.79999E-6,40.00000E-3,
,,,-242.59998E-6,479.999989E-3,,,,,-242.59998E-6,40.00000E-3,
,,,-242.39998E-6,479.999989E-3,,,,,-242.39998E-6,40.00000E-3,
,,,-242.19998E-6,479.999989E-3,,,,,-242.19998E-6,40.00000E-3,
,,,-241.99998E-6,479.999989E-3,,,,,-241.99998E-6,40.00000E-3,
,,,-241.79998E-6,479.999989E-3,,,,,-241.79998E-6,40.00000E-3,
,,,-241.59998E-6,479.999989E-3,,,,,-241.59998E-6,0.0,
,,,-241.39998E-6,479.999989E-3,,,,,-241.39998E-6,40.00000E-3,
,,,-241.19999E-6,479.999989E-3,,,,,-241.19999E-6,0.0,
,,,-240.99999E-6,560.000002E-3,,,,,-240.99999E-6,40.00000E-3,
,,,-240.79999E-6,560.000002E-3,,,,,-240.79999E-6,40.00000E-3,
,,,-240.59998E-6,560.000002E-3,,,,,-240.59998E-6,40.00000E-3,
,,,-240.39998E-6,560.000002E-3,,,,,-240.39998E-6,40.00000E-3,
,,,-240.19998E-6,560.000002E-3,,,,,-240.19998E-6,0.0,
,,,-239.99998E-6,560.000002E-3,,,,,-239.99998E-6,0.0,
,,,-239.79998E-6,560.000002E-3,,,,,-239.79998E-6,40.00000E-3,
,,,-239.59998E-6,560.000002E-3,,,,,-239.59998E-6,40.00000E-3,
,,,-239.39999E-6,560.000002E-3,,,,,-239.39999E-6,40.00000E-3,
,,,-239.19999E-6,560.000002E-3,,,,,-239.19999E-6,40.00000E-3,
,,,-238.99999E-6,560.000002E-3,,,,,-238.99999E-6,40.00000E-3,
,,,-238.79998E-6,560.000002E-3,,,,,-238.79998E-6,40.00000E-3,
,,,-238.59998E-6,560.000002E-3,,,,,-238.59998E-6,40.00000E-3,
,,,-238.39998E-6,639.999986E-3,,,,,-238.39998E-6,40.00000E-3,
,,,-238.19998E-6,639.999986E-3,,,,,-238.19998E-6,40.00000E-3,
,,,-237.99998E-6,639.999986E-3,,,,,-237.99998E-6,40.00000E-3,
,,,-237.79998E-6,639.999986E-3,,,,,-237.79998E-6,40.00000E-3,
